titulo	imagen	imagen2	descripcion	grupoMuscular	tipoEntrenamiento	tipoNivel
Crunches Oblicuos	img/Cross-body-crunch-1.svg	img/Cross-body-crunch-2.svg	Los crunches oblicuos son un ejercicio abdominal que se enfoca en los músculos oblicuos. Para realizar este ejercicio, acuéstate boca arriba en el suelo con las rodillas dobladas y los pies apoyados en el suelo. Coloca las manos detrás de las orejas o cruzadas en el pecho y levanta el torso hacia arriba, hacia las rodillas. Al mismo tiempo, gira el torso hacia un lado y lleva el codo del mismo lado hacia la rodilla opuesta. Luego, baja el torso y repite del otro lado. El movimiento debe ser controlado y enfocado en los oblicuos, evitando usar el cuello o los hombros para ayudar en el levantamiento.	Core	Musculacion	Intermedio
Crunches	img/Crunches-1.svg	img/Crunches-2.svg	Los crunches son un ejercicio de abdominales que se realizan acostándose en el suelo con las rodillas flexionadas y los pies apoyados en el suelo. Luego, se eleva la parte superior del cuerpo hacia las piernas, contrayendo los músculos abdominales. En el caso de los crunches normales, las manos se colocan detrás de la cabeza y se mantiene la mirada hacia arriba durante todo el ejercicio para evitar forzar el cuello. Este ejercicio ayuda a fortalecer los músculos abdominales y mejorar la resistencia de la zona media del cuerpo.	Core	Musculacion	Principiante
Chrunches con balon estabilizador	img/Crunches-with-legs-on-stability-ball-1.svg	img/Crunches-with-legs-on-stability-ball-2.svg	Crunches con balón estabilizador es un ejercicio de entrenamiento de fuerza para los abdominales y los músculos estabilizadores de la pelvis. En este ejercicio, se acuesta boca arriba sobre una pelota de estabilidad con las piernas levantadas y las pantorrillas apoyadas en la pelota. Luego, realiza contracciones de los abdominales superiores, levantando los hombros y la cabeza del suelo y acercándolos a las rodillas. La pelota de estabilidad añade un elemento de inestabilidad al ejercicio, lo que requiere un mayor esfuerzo de los músculos estabilizadores de la pelvis.	Core	Musculacion	Avanzado
Crunch declinado	img/Decline-crunch-1.svg	img/Decline-crunch-2.svg	El crunch en banco declinado es un ejercicio para los abdominales que se realiza acostado en un banco inclinado con la cabeza hacia abajo y los pies asegurados en la parte superior del banco. Se comienza con las manos detrás de la cabeza y se eleva el torso hacia las rodillas, contrayendo los músculos abdominales en el camino. Este movimiento se repite varias veces para trabajar los músculos abdominales superiores. Al realizar el crunch en un banco declinado, se añade un mayor nivel de resistencia a los abdominales, lo que hace que el ejercicio sea más desafiante y efectivo.	Core	Musculacion	Intermedio
Aperturas con mancuernas banco declinado	img/Dumbbell-decline-flys-1.svg	img/Dumbbell-decline-flys-2.svg	El ejercicio de moscas con mancuernas en declive se enfoca en la parte inferior del pecho. Acuéstese sobre un banco inclinado con una mancuerna en cada mano, y levante los brazos hacia los lados hasta que las mancuernas estén directamente sobre el pecho. Luego baje lentamente las mancuernas hacia los lados y hacia atrás, manteniendo los codos ligeramente doblados, hasta que sienta un estiramiento en el pecho y los hombros, y luego levante las mancuernas de nuevo a la posición inicial.	Pectorales	Musculacion	Intermedio
Aperturas con mancuernas banco plano	img/Dumbbell-decline-flys-1.svg	img/Dumbbell-decline-flys-2.svg	Las aperturas con mancuernas en banco plano son un ejercicio de entrenamiento de fuerza para trabajar los músculos pectorales mayores y menores. El ejercicio implica acostarse sobre un banco plano con una mancuerna en cada mano, los brazos estirados hacia arriba y las palmas de las manos mirando hacia adentro. Desde esta posición, se bajan lentamente las mancuernas hacia los lados hasta que los brazos están paralelos al suelo y luego se elevan las mancuernas a la posición inicial. El movimiento se repite para completar una serie de repeticiones.	Pectorales	Musculacion	Principiante
Elevaciones frontales con mancuernas	img/Dumbbell-front-raises-1.svg	img/Dumbbell-front-raises-2-1.svg	Las elevaciones frontales con mancuernas son un ejercicio de entrenamiento de fuerza que se enfoca en los músculos del hombro y del brazo. Para realizar el ejercicio, se sostiene una mancuerna en cada mano y se elevan los brazos hacia adelante, manteniendo los codos ligeramente flexionados. Este movimiento fortalece los músculos del hombro, especialmente el deltoides anterior, que es el músculo en la parte delantera del hombro. También puede ayudar a mejorar la estabilidad del hombro y la postura.	Hombros	Musculacion	Principiante
Elevaciones laterales con mancuernas	img/Dumbbell-lateral-raises-1.svg	img/Dumbbell-lateral-raises-2.svg	Las elevaciones laterales con mancuernas son un ejercicio de entrenamiento de fuerza para los hombros. Para realizar este ejercicio, debes pararte con los pies separados al ancho de los hombros, sostener una mancuerna en cada mano con las palmas hacia adentro y los brazos rectos a los lados. Luego, levanta los brazos en línea recta hacia los lados hasta que las manos estén a la altura de los hombros o un poco más arriba. Mantén la posición durante un segundo y luego baja los brazos lentamente a la posición inicial. Este ejercicio trabaja los músculos del hombro medio y también puede ayudar a fortalecer los músculos del hombro anterior y posterior.	Hombros	Musculacion	Principiante
Encogimientos con Swiss ball	img/Exercise-ball-pull-in-1.svg	img/Exercise-ball-pull-in-2.svg	Los encogimientos con Swiss ball son un ejercicio de entrenamiento de fuerza que se enfoca en los músculos abdominales y de la espalda baja. Para realizar este ejercicio, se requiere un balón suizo (Swiss ball) y una superficie plana para acostarse. Para realizar los encogimientos con Swiss ball, el usuario debe acostarse boca arriba en el suelo con los pies apoyados sobre el balón suizo. Luego, se debe levantar lentamente el balón con las piernas extendidas hacia el techo, manteniendo los abdominales tensos y apretados. A continuación, se debe bajar el balón de manera controlada hacia el suelo y repetir el movimiento para completar varias repeticiones. Este ejercicio es beneficioso para desarrollar la fuerza y la resistencia en los músculos abdominales, así como para mejorar la estabilidad y el equilibrio. También puede ayudar a fortalecer los músculos de la espalda baja y mejorar la postura.	Hombros	Musculacion	Intermedio
Dominadas	img/Gironda-sternum-chins-1.svg	img/Gironda-sternum-chins-2.svg	Las dominadas sternum chins, también conocidas como dominadas esternón o pull-ups esternón, son una variante avanzada de las dominadas tradicionales que se enfocan en el desarrollo de los músculos de la espalda superior, el pecho y los hombros. En lugar de simplemente subir el cuerpo hacia la barra, como se hace en las dominadas tradicionales, en las dominadas sternum chins el objetivo es llevar el pecho hacia la barra, específicamente hacia el esternón. Para hacer esto, se debe tener una buena fuerza y control de la escápula, y se debe elevar el cuerpo hacia la barra en un ángulo más vertical que en las dominadas normales. Las dominadas sternum chins son un ejercicio desafiante y requieren un alto nivel de fuerza y técnica. Se recomienda que solo los atletas avanzados y experimentados en la realización de dominadas las realicen.	Espalda	Musculacion	Intermedio
Hiperextensione	img/Hyperextensions-1.svg	img/Hyperextensions-2.svg	Las hyperextensiones, también conocidas como extensiones lumbares o back extensions en inglés, son un ejercicio de entrenamiento de fuerza que se enfoca en los músculos de la espalda baja, específicamente los músculos erectores de la columna vertebral y los glúteos. El ejercicio se realiza típicamente en un banco de hyperextensiones, con los pies asegurados y la parte superior del cuerpo colgando libremente. Durante el ejercicio, el individuo eleva su cuerpo hasta una posición horizontal, creando una línea recta entre los hombros y las rodillas, y luego baja de regreso a la posición inicial. Las hyperextensiones pueden ser realizadas con el propio peso corporal, con una carga adicional, o con una barra, lo que aumenta la intensidad del ejercicio. Este ejercicio es beneficioso para mejorar la postura, fortalecer los músculos de la espalda baja y prevenir lesiones en la espalda. Sin embargo, es importante realizarlo con la técnica adecuada para evitar lesiones en la espalda baja.	Core	Musculacion	Principiante
Extensiones de triceps inclinado con mancuernas	img/Incline-triceps-extensions-1.svg	img/Incline-triceps-extensions-2.svg	La extensión de tríceps en banco inclinado es un ejercicio de entrenamiento de fuerza que se enfoca en el desarrollo del músculo tríceps. En este ejercicio, se usa un banco inclinado y un par de mancuernas para realizar la extensión del tríceps mientras se mantiene el brazo en una posición fija. El atleta comienza sentado en el banco inclinado con los pies apoyados en el suelo y las mancuernas sujetas con ambas manos. Luego, se extienden los brazos hacia arriba, manteniendo los codos en su lugar, y se baja lentamente las mancuernas detrás de la cabeza hasta que los brazos formen un ángulo de 90 grados. A continuación, se elevan las mancuernas de nuevo hacia arriba hasta la posición inicial y se repite el ejercicio. Este movimiento ayuda a tonificar y fortalecer los músculos del tríceps, que son importantes para muchas actividades cotidianas, así como para deportes que requieren fuerza en los brazos.	Triceps	Musculacion	Principiante
Extensiones triceps con apoyo en polea	img/Kneeling-concentration-triceps-extension-1.svg	img/Kneeling-concentration-triceps-extension-2.svg	La "kneeling concentration triceps" (extensión de tríceps con apoyo) es un ejercicio de entrenamiento de fuerza para trabajar específicamente los tríceps. El ejercicio se realiza sentado en un banco o silla con una mancuerna en la mano, apoyando el codo en la pierna opuesta. A partir de ahí, se extiende el brazo hacia atrás y hacia arriba, manteniendo el codo en su lugar. Este movimiento se repite varias veces para trabajar los músculos del tríceps de manera efectiva. La kneeling concentration triceps se enfoca en la cabeza larga del tríceps y puede ser una excelente manera de mejorar la fuerza y la definición muscular en esta área.	Triceps	Musculacion	Intermedio
Prensa	img/Leg-press-1-1024x670.svg	img/Leg-press-2-1024x670.svg	El press de piernas es un ejercicio de entrenamiento de fuerza que se realiza en una máquina de pesas y está diseñado para trabajar los músculos de las piernas, incluyendo los cuádriceps, los glúteos, los isquiotibiales y los músculos de la pantorrilla. El ejercicio implica sentarse en una plataforma acolchada y empujar una placa de peso con las piernas mientras se mantiene la espalda en posición vertical. A medida que se extienden las piernas, se contraen los músculos de las piernas para levantar el peso. Este ejercicio es ideal para mejorar la fuerza y la definición muscular en las piernas.	Cuadriceps	Musculacion	Intermedio
Elevaciones de piernas	img/Leg-raises-1.svg	img/Leg-raises-2.svg	Los leg raises o elevaciones de piernas son un ejercicio de entrenamiento de fuerza para el abdomen y los músculos de las caderas. El ejercicio se realiza acostado en una superficie plana, generalmente en una colchoneta o en un banco de entrenamiento. Las piernas se elevan hacia arriba, manteniéndolas juntas y estiradas, mientras se contraen los músculos abdominales y de la parte inferior del torso. A medida que las piernas se elevan, se inhala y se exhala cuando se bajan. Las variaciones del ejercicio pueden incluir agregar peso o mantener los brazos en diferentes posiciones para involucrar diferentes músculos.	Core	Musculacion	Intermedio
Extensiones triceps polea baja	img/Low-triceps-extension-1.svg	img/Low-triceps-extension-2.svg	Las low triceps extensions, también conocidas como extensiones de tríceps con polea baja, son un ejercicio de entrenamiento de fuerza para los tríceps. Para realizar este ejercicio, se necesita una máquina de polea baja con una barra en V o una cuerda de tríceps. Para empezar, el usuario se coloca de pie frente a la máquina con los pies separados a la anchura de los hombros y agarra la barra o la cuerda con las manos en pronación (palmas hacia abajo). Los brazos deben estar doblados y pegados al cuerpo. Luego, se extienden los brazos hacia abajo y hacia atrás, manteniendo los codos pegados al cuerpo, hasta que los tríceps estén completamente contraídos. La posición final debe ser con los brazos rectos y la barra o la cuerda apuntando hacia abajo. Se realiza una pausa en la posición final antes de volver lentamente a la posición inicial, controlando el movimiento. Es importante mantener el núcleo y los glúteos apretados para mantener una postura adecuada durante todo el ejercicio. Las low triceps extensions trabajan los tríceps, ayudando a fortalecer y tonificar los músculos en la parte posterior de los brazos.	Triceps	Musculacion	Principiante
Lunges 	img/Lunges-1.svg	img/Lunges-2-1.svg	Los lunges, también conocidos como estocadas, son un ejercicio de entrenamiento de fuerza que implica mover el cuerpo hacia adelante con una pierna mientras se mantiene la otra en su lugar, y luego volver a la posición inicial. Este ejercicio trabaja principalmente los músculos de las piernas, incluyendo los cuádriceps, los glúteos y los músculos isquiotibiales. También puede ayudar a mejorar la fuerza, la estabilidad y la flexibilidad de las piernas. Los lunges se pueden realizar con o sin peso adicional y en varias variaciones, como lunges laterales o lunges hacia atrás.	Cuadriceps	Musculacion	Principiante
Press francÃ©s	img/Lying-close-grip-triceps-press-to-chin-1.svg	img/Lying-close-grip-triceps-press-to-chin-2.svg	El ejercicio Lying Close Grip es una variación del press de banca en la que se utiliza una barra con un agarre más estrecho, lo que implica una mayor activación del tríceps en lugar del pecho. Para realizar el ejercicio, se acuesta en un banco plano y sostiene la barra con un agarre estrecho, con las manos separadas a la distancia de los hombros. A continuación, se baja la barra hacia el pecho manteniendo los codos cerca del cuerpo y se extienden los brazos para volver a la posición inicial. El Lying Close Grip se enfoca principalmente en el tríceps, pero también involucra los hombros y el pecho como músculos secundarios.	Triceps	Musculacion	Intermedio
Patada de triceps con mancuerna	img/Triceps-kickback-1.svg	img/Triceps-kickback-2.svg	El triceps kickback es un ejercicio de aislamiento que se enfoca en trabajar los músculos tríceps. Para realizarlo, se necesita una mancuerna y un banco. Primero, se debe colocar el pie y la mano del mismo lado en el banco, y doblar la parte superior del cuerpo hacia adelante hasta que quede paralela al suelo. Sosteniendo la mancuerna con la otra mano y con el brazo doblado, se debe llevar la mancuerna hacia atrás, manteniendo el codo fijo en un ángulo de 90 grados, y luego extender el brazo hacia atrás hasta que esté completamente recto. Se debe sentir una contracción en los tríceps durante todo el movimiento. Luego, se baja lentamente la mancuerna a la posición inicial y se repite el movimiento. Este ejercicio es ideal para tonificar y fortalecer los músculos tríceps.	Triceps	Musculacion	Principiante
Fondos en maquina	img/Tricep-dips-1.svg	img/Tricep-dips-2-1.svg	Los fondos en máquina para tríceps son un ejercicio de entrenamiento de fuerza que se realiza en una máquina de entrenamiento de pesas específica para tríceps. El ejercicio se realiza sentado en la máquina, con los brazos extendidos hacia atrás y sosteniendo las asas de la máquina. Desde esta posición, se contraen los tríceps para extender los brazos y levantar el peso. Luego se baja el peso lentamente para volver a la posición inicial. Este ejercicio es efectivo para fortalecer y tonificar los tríceps, y puede ser una buena opción para aquellos que buscan reducir la carga en las articulaciones de los hombros y codos que pueden ocurrir con otros ejercicios de tríceps como las flexiones de tríceps o los fondos en paralelas.	Triceps	Musculacion	Principiante
Remo en maquina	img/T-bar-row-1.svg	img/T-bar-row-2.svg	El T-Bar Row es un ejercicio de entrenamiento de fuerza que se enfoca en trabajar los músculos de la espalda, específicamente los músculos de la parte superior de la espalda como el trapecio y los músculos del manguito rotador. El ejercicio se realiza con una barra colocada en un soporte en ángulo, con un extremo de la barra colocado en el suelo y el otro extremo cargado con discos de peso. El usuario agarra la barra con ambas manos en un agarre cerrado y levanta la barra hacia el pecho, manteniendo los codos cerca del cuerpo y apretando los omóplatos. Este movimiento ayuda a fortalecer la espalda, mejorando la postura y la estabilidad del núcleo.	Espalda	Musculacion	Principiante
Supermans	img/Supermans-1.svg	img/Supermans-2.svg	Supermans es un ejercicio de fortalecimiento de la espalda y glúteos. Para realizarlo, se debe acostar boca abajo en el suelo, con los brazos extendidos hacia adelante y las piernas extendidas detrás del cuerpo. Luego, se debe levantar simultáneamente los brazos, piernas y torso del suelo, manteniéndolos rectos y en línea recta con el cuerpo. Una vez que se alcanza la posición más alta, se debe sostener durante unos segundos antes de volver a la posición inicial. El ejercicio debe realizarse lentamente y con control para evitar lesiones y maximizar los beneficios para la espalda y glúteos.	Core	Musculacion	Intermedio
Curl de biceps de pie	img/Standing-biceps-curl-1.svg	img/Standing-biceps-curl-2.svg	La standing biceps curl, también conocida como curl de pie, es un ejercicio de entrenamiento de fuerza que se enfoca en los músculos bíceps de los brazos. Para realizar este ejercicio, el usuario sostiene una barra con peso en posición de pie, con las palmas de las manos hacia arriba y las manos separadas al ancho de los hombros. Luego, con un movimiento controlado, flexiona los codos para levantar la barra hacia los hombros, manteniendo los codos pegados al cuerpo en todo momento. Finalmente, se baja la barra de manera controlada para completar una repetición. La standing biceps curl es un ejercicio popular entre los culturistas y los entusiastas del fitness debido a su capacidad para desarrollar y tonificar los músculos de los brazos.	Biceps	Musculacion	Principiante
Sentadillas	img/Squats-1.svg	img/Squats-2-1.svg	Los squats libres, también conocidos como sentadillas libres, son un ejercicio de entrenamiento de fuerza en el que se coloca una barra cargada sobre los hombros, se baja en una posición de cuclillas manteniendo la espalda recta y las rodillas apuntando hacia afuera, y luego se vuelve a la posición inicial. Este ejercicio trabaja principalmente los músculos de las piernas, incluyendo los cuádriceps, los glúteos y los isquiotibiales, así como los músculos estabilizadores del núcleo y la espalda. Es una técnica de entrenamiento popular en el levantamiento de pesas y puede ser modificado para adaptarse a diferentes niveles de habilidad y objetivos de entrenamiento.	Cuadriceps	Musculacion	Avanzado
Extensiones triceps sentado	img/Seated-triceps-press-1.svg	img/Seated-triceps-press-2.svg	El ejercicio de tríceps sentado es un ejercicio de entrenamiento de fuerza que se enfoca en los músculos tríceps. Se realiza sentado en un banco con una mancuerna o con un cable de resistencia detrás de la cabeza, y el objetivo es extender los brazos hacia arriba para trabajar los músculos tríceps. Es importante mantener una buena postura y controlar el movimiento durante todo el ejercicio para evitar lesiones.	Triceps	Musculacion	Intermedio
Reverse plate curls	img/Reverse-plate-curls-1.svg	img/Reverse-plate-curls-2.svg	Las reverse plate curls son un ejercicio de entrenamiento de fuerza para los brazos que se enfoca en los músculos del antebrazo. Para realizarlo, se sostiene una pesa con los dedos hacia abajo y se flexionan los brazos levantando la pesa hacia el cuerpo, manteniendo los codos cerca del torso. Este ejercicio es ideal para desarrollar la fuerza y el tamaño de los músculos del antebrazo.	Biceps	Musculacion	Intermedio
Predicador	img/Preacher-curl-3-1.svg	img/Preacher-curl-3-2.svg	El predicador bíceps es un ejercicio que se enfoca en los músculos del bíceps braquial. Se realiza en un banco predicador con una barra EZ o mancuerna, sostenida con los codos apoyados en el cojín del predicador. Se levanta la barra o mancuerna hasta la altura de los hombros, doblando los codos y contrayendo los músculos del bíceps. Luego, se baja lentamente hasta la posición inicial, manteniendo la contracción del bíceps durante todo el movimiento. Es importante realizarlo con técnica adecuada y peso adecuado para evitar lesiones y obtener resultados deseados.	Biceps	Musculacion	Intermedio
Planchas laterales	img/Side-plank-1.svg	img/Side-plank-2.svg	El side plank, también conocido como plancha lateral, es un ejercicio de entrenamiento de fuerza en el que se apoya el peso del cuerpo sobre un brazo mientras se levanta la cadera del suelo, manteniendo el cuerpo en una posición lateral. Este ejercicio se enfoca en los músculos del núcleo, incluyendo los abdominales, la espalda y los glúteos, así como en los músculos estabilizadores del hombro y las piernas. La plancha lateral también es una excelente forma de mejorar la fuerza y la estabilidad de la parte superior del cuerpo.	Core	Musculacion	Avanzaado
Elevaciones de talÃ³n en maquina	img/Standing-calf-raises-1.svg	img/Standing-calf-raises-2.svg	Las elevaciones de gemelos en máquina son un ejercicio que se enfoca en fortalecer y tonificar los músculos de la pantorrilla. Para realizar este ejercicio, debes pararte en la plataforma de la máquina con los hombros debajo de los cojines de los hombros y los pies en el borde inferior de la plataforma. Luego, levanta los talones mientras exhalas y mantén la posición por un segundo antes de bajar lentamente los talones hasta la posición inicial mientras inhalas. Es importante asegurarse de mantener una postura correcta y evitar curvar la espalda.	Gemelos	Musculacion	Intermedio
Elevaciones talÃ³n	img/seatedRaises.svg	img/seatedRaises2.svg	La elevación de gemelos sentado es un ejercicio para trabajar los músculos de la pantorrilla. Para realizarlo, se debe sentar en una máquina específica con las rodillas dobladas y los pies apoyados en una plataforma. Luego, se debe levantar los talones lo más alto posible, contrayendo los músculos de la pantorrilla en la parte superior del movimiento. Se debe bajar lentamente los talones hasta que queden por debajo de la plataforma para completar una repetición. Es importante mantener la espalda recta durante todo el ejercicio y evitar hacer trampa moviendo la parte superior del cuerpo.	Gemelos	Musculacion	Intermedio
Remo en barra	img/remoBarra.png	img/No-image.png	El remo a barra es un ejercicio de calistenia que se enfoca en fortalecer los músculos de la espalda y los brazos. Para realizar este ejercicio, es necesario una barra horizontal y colocarse debajo de ella con las manos en pronación, es decir, con las palmas mirando hacia fuera. Luego, se debe levantar el cuerpo hasta que el pecho toque la barra y volver a bajar lentamente. El remo a barra es un excelente ejercicio para desarrollar fuerza y masa muscular en la espalda y los brazos, así como también ayuda a mejorar la postura y la estabilidad de la parte superior del cuerpo.	Espalda	Calistenia	Principiante
Dominadas	img/pullup1.png	img/pullup2.png	Las dominadas son un ejercicio de calistenia en el que se utiliza principalmente la fuerza del brazo y la espalda para levantar el cuerpo. El ejercicio se realiza colgando de una barra y levantando el cuerpo hacia arriba hasta que la barbilla esté por encima de la barra. Las dominadas son un ejercicio muy efectivo para desarrollar la fuerza de la parte superior del cuerpo y son utilizadas por atletas, militares y entusiastas del fitness en todo el mundo.	Espalda	Calistenia	Intermedio
Muscle up	img/muscle1.png	img/muscle2.png	El muscle-up es un ejercicio avanzado de calistenia que combina una dominada explosiva y un dip para llevar el cuerpo desde una posición colgante a una posición por encima de la barra. Es un movimiento muy exigente que requiere una gran fuerza, control y técnica. El muscle-up es considerado como uno de los ejercicios más difíciles en el mundo de la calistenia.	Espalda	Calistenia	Avanzado
Fondos en paralelas	img/fondos.png	img/No-image.png	Los fondos en paralelas son un ejercicio de calistenia que se enfoca en trabajar principalmente los tríceps, hombros y pecho. Se realizan mediante el apoyo en dos barras paralelas para levantar el propio peso corporal, y son ideales para fortalecer la parte superior del cuerpo y mejorar la estabilidad del core.	Triceps	Calistenia	Intermedio
Pino en paralelas	img/pino.png	img/No-image.png	El pino en paralelas es un ejercicio de calistenia avanzado que consiste en sostener el cuerpo en posición vertical, apoyado únicamente en las manos en unas barras paralelas, con las piernas extendidas hacia arriba. Es un ejercicio que requiere fuerza, equilibrio y coordinación para realizarlo correctamente. Trabaja principalmente los hombros, tríceps y abdominales, pero también involucra otros músculos del cuerpo como la espalda, el pecho y los glúteos.	Hombros	Calistenia	Avanzado
Felxiones planas	img/flexion.png	img/flexion1.png	Las flexiones planas son un ejercicio de calistenia que se realiza apoyando las manos en el suelo y elevando el cuerpo hasta extender los brazos completamente. Este ejercicio trabaja principalmente los músculos del pecho, los hombros y los tríceps, y puede ser modificado para aumentar o disminuir la intensidad.	Pecho	Calistenia	Principiante
